site_name,population_id,admit_year,age_band,sex_group,race_group,ethnicity_group,hospitalizations,deaths,mortality_pct
UCMC,all_icu_adult,2020,65-74,Male,NHPI,Not Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2020,65-74,Male,Other/Unknown,Hispanic or Latino,18,<10,
UCMC,all_icu_adult,2020,65-74,Male,Other/Unknown,Not Hispanic or Latino,12,<10,
UCMC,all_icu_adult,2020,65-74,Male,Other/Unknown,Unknown,16,<10,
UCMC,all_icu_adult,2020,65-74,Male,White,Hispanic or Latino,18,<10,
UCMC,all_icu_adult,2020,65-74,Male,White,Not Hispanic or Latino,275,31,
UCMC,all_icu_adult,2020,65-74,Male,White,Unknown,<10,<10,
UCMC,all_icu_adult,2020,75+,Female,Asian,Not Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2020,75+,Female,Black,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2020,75+,Female,Black,Not Hispanic or Latino,344,74,
UCMC,all_icu_adult,2020,75+,Female,Black,Unknown,<10,<10,
UCMC,all_icu_adult,2020,75+,Female,Other/Unknown,Hispanic or Latino,11,<10,
UCMC,all_icu_adult,2020,75+,Female,Other/Unknown,Not Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2020,75+,Female,Other/Unknown,Unknown,<10,<10,
UCMC,all_icu_adult,2020,75+,Female,White,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2020,75+,Female,White,Not Hispanic or Latino,120,16,
UCMC,all_icu_adult,2020,75+,Male,AIAN,Not Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2020,75+,Male,Asian,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2020,75+,Male,Asian,Not Hispanic or Latino,15,<10,
UCMC,all_icu_adult,2020,75+,Male,Black,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2020,75+,Male,Black,Not Hispanic or Latino,233,51,
UCMC,all_icu_adult,2020,75+,Male,Black,Unknown,<10,<10,
UCMC,all_icu_adult,2020,75+,Male,NHPI,Not Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2020,75+,Male,Other/Unknown,Hispanic or Latino,15,<10,
